filename,node,frequency_hz,awg_vpp_v,vpp_node_v_0,vpp_node_0_v_error,vpp_node_40_v,vpp_node_40_v_error
AMPPUL00.CSV,40,20,5,2.13,0.01,1.89,0.01
AMPPUL01.CSV,40,5900,5,2.55,0.01,2.34,0.01
AMPPUL02.CSV,40,11800,5,2.4,0.01,2.28,0.01
AMPPUL03.CSV,40,17800,5,2.45,0.01,2.22,0.01
AMPPUL04.CSV,40,23600,5,2.66,0.01,2.17,0.01
AMPPUL05.CSV,40,29500,5,2.46,0.01,2.1,0.01
AMPPUL06.CSV,40,35200,5,2.52,0.01,2,0.01
AMPPUL07.CSV,40,41200,5,2.5,0.01,1.95,0.01
AMPPUL08.CSV,40,46700,5,2.29,0.01,1.89,0.01
AMPPUL09.CSV,40,52200,5,2.53,0.01,1.83,0.01
AMPPUL10.CSV,40,57700,5,2.6,0.01,1.76,0.01
AMPPUL11.CSV,40,63500,5,2.98,0.01,1.67,0.01
AMPPUL12.CSV,40,69300,5,2.28,0.01,1.47,0.01
AMPPUL13.CSV,40,73800,5,2.91,0.01,1.43,0.01
AMPPUL14.CSV,40,79500,5,2.7,0.01,1.49,0.01
AMPPUL15.CSV,40,84000,5,2.65,0.01,1.4,0.01
AMPPUL16.CSV,40,89200,5,3.22,0.01,1.27,0.01
AMPPUL17.CSV,40,93850,5,2.01,0.01,1.2,0.01
AMPPUL18.CSV,40,98300,5,3.15,0.01,1.11,0.01
AMPPUL19.CSV,40,102400,5,2.68,0.01,0.87,0.01
AMPPUL20.CSV,40,107750,5,3.61,0.01,0.97,0.01
AMPPUL21.CSV,40,111500,5,3.19,0.01,0.91,0.01
AMPPUL22.CSV,40,116100,5,2.72,0.01,0.82,0.01
AMPPUL23.CSV,40,119200,5,2.85,0.01,0.78,0.01
AMPPUL24.CSV,40,123000,5,3.18,0.01,0.72,0.01
AMPPUL25.CSV,40,126100,5,2.89,0.01,0.57,0.01
AMPPUL26.CSV,40,130000,5,3.6,0.01,0.49,0.01
AMPPUL27.CSV,40,132700,5,2.7,0.01,0.39,0.01
AMPPUL28.CSV,40,136000,5,3.91,0.01,0.33,0.01
AMPPUL29.CSV,40,138700,5,4.16,0.01,0.32,0.01
AMPPUL30.CSV,40,141200,5,4.11,0.01,0.28,0.01
AMPPUL31.CSV,40,143500,5,3.52,0.01,0.2,0.01
AMPPUL32.CSV,40,145300,5,3.59,0.01,0.09,0.01
